YEAR,REVENUE,EXPENSE,FCI,WC+L,OC+SU,d,Profit_before_tax,Tax,Cash_Flow
0,0.0,0.0,-1052.92,-173.74,-84.24,21.058400000000002,0.0,0.0,-1310.9
1,758.71236,-32.28738239,0.0,0.0,0.0,21.058400000000002,705.36657761,-88.17082220125,638.2541554087501
2,758.71236,-32.28738239,0.0,0.0,0.0,21.058400000000002,705.36657761,-88.17082220125,638.2541554087501
3,758.71236,-32.28738239,0.0,0.0,0.0,21.058400000000002,705.36657761,-88.17082220125,638.2541554087501
4,758.71236,-32.28738239,0.0,0.0,0.0,21.058400000000002,705.36657761,-88.17082220125,638.2541554087501
5,758.71236,-32.28738239,0.0,0.0,0.0,21.058400000000002,705.36657761,-88.17082220125,638.2541554087501
6,758.71236,-32.28738239,0.0,0.0,0.0,21.058400000000002,705.36657761,-88.17082220125,638.2541554087501
7,758.71236,-32.28738239,0.0,0.0,0.0,21.058400000000002,705.36657761,-88.17082220125,638.2541554087501
8,758.71236,-32.28738239,0.0,0.0,0.0,21.058400000000002,705.36657761,-88.17082220125,638.2541554087501
9,758.71236,-32.28738239,0.0,0.0,0.0,21.058400000000002,705.36657761,-88.17082220125,638.2541554087501
10,758.71236,-32.28738239,0.0,0.0,0.0,21.058400000000002,705.36657761,-88.17082220125,638.2541554087501
11,758.71236,-32.28738239,0.0,0.0,0.0,21.058400000000002,705.36657761,-88.17082220125,638.2541554087501
12,758.71236,-32.28738239,0.0,0.0,0.0,21.058400000000002,705.36657761,-88.17082220125,638.2541554087501
13,758.71236,-32.28738239,0.0,0.0,0.0,21.058400000000002,705.36657761,-88.17082220125,638.2541554087501
14,758.71236,-32.28738239,0.0,0.0,0.0,21.058400000000002,705.36657761,-88.17082220125,638.2541554087501
15,758.71236,-32.28738239,0.0,0.0,0.0,21.058400000000002,705.36657761,-88.17082220125,638.2541554087501
16,758.71236,-32.28738239,0.0,0.0,0.0,21.058400000000002,705.36657761,-88.17082220125,638.2541554087501
17,758.71236,-32.28738239,0.0,0.0,0.0,21.058400000000002,705.36657761,-88.17082220125,638.2541554087501
18,758.71236,-32.28738239,0.0,0.0,0.0,21.058400000000002,705.36657761,-88.17082220125,638.2541554087501
19,758.71236,-32.28738239,0.0,0.0,0.0,21.058400000000002,705.36657761,-88.17082220125,638.2541554087501
20,758.71236,-32.28738239,0.0,0.0,0.0,21.058400000000002,705.36657761,-88.17082220125,638.2541554087501
21,758.71236,-32.28738239,0.0,0.0,0.0,21.058400000000002,705.36657761,-88.17082220125,638.2541554087501
22,758.71236,-32.28738239,0.0,0.0,0.0,21.058400000000002,705.36657761,-88.17082220125,638.2541554087501
23,758.71236,-32.28738239,0.0,0.0,0.0,21.058400000000002,705.36657761,-88.17082220125,638.2541554087501
24,758.71236,-32.28738239,0.0,0.0,0.0,21.058400000000002,705.36657761,-88.17082220125,638.2541554087501
25,758.71236,-32.28738239,0.0,0.0,0.0,21.058400000000002,705.36657761,-88.17082220125,638.2541554087501
26,758.71236,-32.28738239,0.0,0.0,0.0,21.058400000000002,705.36657761,-88.17082220125,638.2541554087501
27,758.71236,-32.28738239,0.0,0.0,0.0,21.058400000000002,705.36657761,-88.17082220125,638.2541554087501
28,758.71236,-32.28738239,0.0,0.0,0.0,21.058400000000002,705.36657761,-88.17082220125,638.2541554087501
29,758.71236,-32.28738239,0.0,0.0,0.0,21.058400000000002,705.36657761,-88.17082220125,638.2541554087501
30,758.71236,-32.28738239,0.0,0.0,0.0,21.058400000000002,705.36657761,-88.17082220125,638.2541554087501
31,758.71236,-32.28738239,0.0,0.0,0.0,21.058400000000002,705.36657761,-88.17082220125,638.2541554087501
32,758.71236,-32.28738239,0.0,0.0,0.0,21.058400000000002,705.36657761,-88.17082220125,638.2541554087501
33,758.71236,-32.28738239,0.0,0.0,0.0,21.058400000000002,705.36657761,-88.17082220125,638.2541554087501
34,758.71236,-32.28738239,0.0,0.0,0.0,21.058400000000002,705.36657761,-88.17082220125,638.2541554087501
35,758.71236,-32.28738239,0.0,0.0,0.0,21.058400000000002,705.36657761,-88.17082220125,638.2541554087501
36,758.71236,-32.28738239,0.0,0.0,0.0,21.058400000000002,705.36657761,-88.17082220125,638.2541554087501
37,758.71236,-32.28738239,0.0,0.0,0.0,21.058400000000002,705.36657761,-88.17082220125,638.2541554087501
38,758.71236,-32.28738239,0.0,0.0,0.0,21.058400000000002,705.36657761,-88.17082220125,638.2541554087501
39,758.71236,-32.28738239,0.0,0.0,0.0,21.058400000000002,705.36657761,-88.17082220125,638.2541554087501
40,758.71236,-32.28738239,0.0,0.0,0.0,21.058400000000002,705.36657761,-88.17082220125,638.2541554087501
41,758.71236,-32.28738239,0.0,0.0,0.0,21.058400000000002,705.36657761,-88.17082220125,638.2541554087501
42,758.71236,-32.28738239,0.0,0.0,0.0,21.058400000000002,705.36657761,-88.17082220125,638.2541554087501
43,758.71236,-32.28738239,0.0,0.0,0.0,21.058400000000002,705.36657761,-88.17082220125,638.2541554087501
44,758.71236,-32.28738239,0.0,0.0,0.0,21.058400000000002,705.36657761,-88.17082220125,638.2541554087501
45,758.71236,-32.28738239,0.0,0.0,0.0,21.058400000000002,705.36657761,-88.17082220125,638.2541554087501
46,758.71236,-32.28738239,0.0,0.0,0.0,21.058400000000002,705.36657761,-88.17082220125,638.2541554087501
47,758.71236,-32.28738239,0.0,0.0,0.0,21.058400000000002,705.36657761,-88.17082220125,638.2541554087501
48,758.71236,-32.28738239,0.0,0.0,0.0,21.058400000000002,705.36657761,-88.17082220125,638.2541554087501
49,758.71236,-32.28738239,0.0,0.0,0.0,21.058400000000002,705.36657761,-88.17082220125,638.2541554087501
50,758.71236,-32.28738239,0.0,173.74,0.0,21.058400000000002,705.36657761,-88.17082220125,811.9941554087501
