,R_AdjustFact,E_AdjustFact,FCI_AdjustFact,NPV,IRR
0,0.6,1.0,1.0,-720.09,0.0581
1,0.7,1.0,1.0,-325.35,0.0903
2,0.7999999999999999,1.0,1.0,69.39,0.1206
3,0.8999999999999999,1.0,1.0,464.13,0.15
4,0.9999999999999999,1.0,1.0,858.87,0.1792
5,1.0999999999999999,1.0,1.0,1253.61,0.2081
6,1.1999999999999997,1.0,1.0,1648.35,0.237
7,1.2999999999999998,1.0,1.0,2043.09,0.2659
8,1.4,1.0,1.0,2437.83,0.2948
9,1.4999999999999998,1.0,1.0,2832.57,0.3236
10,1.5999999999999996,1.0,1.0,3227.31,0.3525
11,1.6999999999999997,1.0,1.0,3622.05,0.3813
12,1.7999999999999998,1.0,1.0,4016.79,0.4102
13,1.9,1.0,1.0,4411.53,0.439
14,1.9999999999999996,1.0,1.0,4806.27,0.4679
15,2.0999999999999996,1.0,1.0,5201.01,0.4967
16,2.1999999999999997,1.0,1.0,5595.75,0.5256
17,2.3,1.0,1.0,5990.49,0.5544
18,2.3999999999999995,1.0,1.0,6385.23,0.5833
19,2.4999999999999996,1.0,1.0,6779.97,0.6121
20,2.5999999999999996,1.0,1.0,7174.71,0.641
21,2.6999999999999997,1.0,1.0,7569.45,0.6698
22,2.7999999999999994,1.0,1.0,7964.19,0.6987
23,2.8999999999999995,1.0,1.0,8358.93,0.7275
24,2.9999999999999996,1.0,1.0,8753.67,0.7564
25,3.0999999999999996,1.0,1.0,9148.41,0.7852
26,3.1999999999999997,1.0,1.0,9543.15,0.8141
27,3.2999999999999994,1.0,1.0,9937.89,0.8429
28,3.3999999999999995,1.0,1.0,10332.63,0.8718
