,R_AdjustFact,E_AdjustFact,FCI_AdjustFact,NPV,IRR
0,0.6,1,1,-1141.16,0.0422
1,0.7,1,1,-746.42,0.0692
2,0.7999999999999999,1,1,-351.68,0.0941
3,0.8999999999999999,1,1,43.06,0.1179
4,0.9999999999999999,1,1,437.8,0.1412
5,1.0999999999999999,1,1,832.54,0.1642
6,1.1999999999999997,1,1,1227.28,0.1871
7,1.2999999999999998,1,1,1622.02,0.2099
8,1.4,1,1,2016.76,0.2327
9,1.4999999999999998,1,1,2411.5,0.2554
10,1.5999999999999996,1,1,2806.24,0.2781
11,1.6999999999999997,1,1,3200.98,0.3009
12,1.7999999999999998,1,1,3595.72,0.3236
13,1.9,1,1,3990.46,0.3463
14,1.9999999999999996,1,1,4385.2,0.369
15,2.0999999999999996,1,1,4779.94,0.3918
16,2.1999999999999997,1,1,5174.68,0.4145
17,2.3,1,1,5569.42,0.4372
18,2.3999999999999995,1,1,5964.16,0.4599
19,2.4999999999999996,1,1,6358.9,0.4827
20,2.5999999999999996,1,1,6753.64,0.5054
21,2.6999999999999997,1,1,7148.38,0.5281
22,2.7999999999999994,1,1,7543.12,0.5508
23,2.8999999999999995,1,1,7937.86,0.5736
24,2.9999999999999996,1,1,8332.6,0.5963
25,3.0999999999999996,1,1,8727.34,0.619
26,3.1999999999999997,1,1,9122.08,0.6417
27,3.2999999999999994,1,1,9516.82,0.6645
28,3.3999999999999995,1,1,9911.56,0.6872
