CASE_NAME,REVENUE,EXPENSES,FCI,CHANGE_FROM_BASE_REVENUE,CHANGE_FROM_BASE_EXPENSES,CHANGE_FROM_BASE_FCI
hydrogen_lower,353.294352,205.3342845,1631.0275550000001,-0.33,0.0,-0.0
hydrogen_upper,1766.4717600000001,205.3342845,1631.0275550000001,2.33,0.0,-0.0
natgas_lower,529.9415280000001,89.02562157,1631.0275550000001,-0.0,-0.57,-0.0
natgas_upper,529.9415280000001,278.0271988,1631.0275550000001,-0.0,0.35,-0.0
helium_lower,529.9415280000001,205.08266880000002,1626.232766,-0.0,-0.0,-0.0
helium_upper,529.9415280000001,207.8504418,1678.9754489999998,-0.0,0.01,0.03
triso_lower,529.9415280000001,205.309501,1630.94752,-0.0,-0.0,-0.0
triso_upper,529.9415280000001,205.35906799999998,1631.107591,-0.0,0.0,0.0
fci_decommissioning_lower,529.9415280000001,205.3342845,1467.9248,-0.0,0.0,-0.1
fci_decommissioning_upper,529.9415280000001,205.3342845,1794.130311,-0.0,0.0,0.1
combined_lower,353.294352,280.5681396,1846.9610329999998,-0.33,0.37,0.13
combined_upper,1766.4717600000001,88.74922234,1463.537458,2.33,-0.57,-0.1
