YEAR,REVENUE,EXPENSE,FCI,WC+L,OC+SU,d,Profit_before_tax,Tax,Cash_Flow
0,0.0,0.0,-1631.03,-267.39,-130.48,0.0,0.0,0.0,-2028.9
1,529.9415280000001,-205.3342845,0.0,0.0,0.0,40.77575,283.8314935000001,-36.89809415500001,287.70914934500007
2,529.9415280000001,-205.3342845,0.0,0.0,0.0,40.77575,283.8314935000001,-36.89809415500001,287.70914934500007
3,529.9415280000001,-205.3342845,0.0,0.0,0.0,40.77575,283.8314935000001,-36.89809415500001,287.70914934500007
4,529.9415280000001,-205.3342845,0.0,0.0,0.0,40.77575,283.8314935000001,-36.89809415500001,287.70914934500007
5,529.9415280000001,-205.3342845,0.0,0.0,0.0,40.77575,283.8314935000001,-36.89809415500001,287.70914934500007
6,529.9415280000001,-205.3342845,0.0,0.0,0.0,40.77575,283.8314935000001,-36.89809415500001,287.70914934500007
7,529.9415280000001,-205.3342845,0.0,0.0,0.0,40.77575,283.8314935000001,-36.89809415500001,287.70914934500007
8,529.9415280000001,-205.3342845,0.0,0.0,0.0,40.77575,283.8314935000001,-36.89809415500001,287.70914934500007
9,529.9415280000001,-205.3342845,0.0,0.0,0.0,40.77575,283.8314935000001,-36.89809415500001,287.70914934500007
10,529.9415280000001,-205.3342845,0.0,0.0,0.0,40.77575,283.8314935000001,-36.89809415500001,287.70914934500007
11,529.9415280000001,-205.3342845,0.0,0.0,0.0,40.77575,283.8314935000001,-36.89809415500001,287.70914934500007
12,529.9415280000001,-205.3342845,0.0,0.0,0.0,40.77575,283.8314935000001,-36.89809415500001,287.70914934500007
13,529.9415280000001,-205.3342845,0.0,0.0,0.0,40.77575,283.8314935000001,-36.89809415500001,287.70914934500007
14,529.9415280000001,-205.3342845,0.0,0.0,0.0,40.77575,283.8314935000001,-36.89809415500001,287.70914934500007
15,529.9415280000001,-205.3342845,0.0,0.0,0.0,40.77575,283.8314935000001,-36.89809415500001,287.70914934500007
16,529.9415280000001,-205.3342845,0.0,0.0,0.0,40.77575,283.8314935000001,-36.89809415500001,287.70914934500007
17,529.9415280000001,-205.3342845,0.0,0.0,0.0,40.77575,283.8314935000001,-36.89809415500001,287.70914934500007
18,529.9415280000001,-205.3342845,0.0,0.0,0.0,40.77575,283.8314935000001,-36.89809415500001,287.70914934500007
19,529.9415280000001,-205.3342845,0.0,0.0,0.0,40.77575,283.8314935000001,-36.89809415500001,287.70914934500007
20,529.9415280000001,-205.3342845,0.0,0.0,0.0,40.77575,283.8314935000001,-36.89809415500001,287.70914934500007
21,529.9415280000001,-205.3342845,0.0,0.0,0.0,40.77575,283.8314935000001,-36.89809415500001,287.70914934500007
22,529.9415280000001,-205.3342845,0.0,0.0,0.0,40.77575,283.8314935000001,-36.89809415500001,287.70914934500007
23,529.9415280000001,-205.3342845,0.0,0.0,0.0,40.77575,283.8314935000001,-36.89809415500001,287.70914934500007
24,529.9415280000001,-205.3342845,0.0,0.0,0.0,40.77575,283.8314935000001,-36.89809415500001,287.70914934500007
25,529.9415280000001,-205.3342845,0.0,0.0,0.0,40.77575,283.8314935000001,-36.89809415500001,287.70914934500007
26,529.9415280000001,-205.3342845,0.0,0.0,0.0,40.77575,283.8314935000001,-36.89809415500001,287.70914934500007
27,529.9415280000001,-205.3342845,0.0,0.0,0.0,40.77575,283.8314935000001,-36.89809415500001,287.70914934500007
28,529.9415280000001,-205.3342845,0.0,0.0,0.0,40.77575,283.8314935000001,-36.89809415500001,287.70914934500007
29,529.9415280000001,-205.3342845,0.0,0.0,0.0,40.77575,283.8314935000001,-36.89809415500001,287.70914934500007
30,529.9415280000001,-205.3342845,0.0,0.0,0.0,40.77575,283.8314935000001,-36.89809415500001,287.70914934500007
31,529.9415280000001,-205.3342845,0.0,0.0,0.0,40.77575,283.8314935000001,-36.89809415500001,287.70914934500007
32,529.9415280000001,-205.3342845,0.0,0.0,0.0,40.77575,283.8314935000001,-36.89809415500001,287.70914934500007
33,529.9415280000001,-205.3342845,0.0,0.0,0.0,40.77575,283.8314935000001,-36.89809415500001,287.70914934500007
34,529.9415280000001,-205.3342845,0.0,0.0,0.0,40.77575,283.8314935000001,-36.89809415500001,287.70914934500007
35,529.9415280000001,-205.3342845,0.0,0.0,0.0,40.77575,283.8314935000001,-36.89809415500001,287.70914934500007
36,529.9415280000001,-205.3342845,0.0,0.0,0.0,40.77575,283.8314935000001,-36.89809415500001,287.70914934500007
37,529.9415280000001,-205.3342845,0.0,0.0,0.0,40.77575,283.8314935000001,-36.89809415500001,287.70914934500007
38,529.9415280000001,-205.3342845,0.0,0.0,0.0,40.77575,283.8314935000001,-36.89809415500001,287.70914934500007
39,529.9415280000001,-205.3342845,0.0,0.0,0.0,40.77575,283.8314935000001,-36.89809415500001,287.70914934500007
40,529.9415280000001,-205.3342845,0.0,267.39,0.0,40.77575,283.8314935000001,-36.89809415500001,555.0991493450001
