,R_AdjustFact,E_AdjustFact,FCI_AdjustFact,NPV,IRR
0,0.6,0.9,0.5,-58.0,0.108
1,0.6,0.9,0.6,-184.25,0.0948
2,0.6,0.9,0.7,-310.49,0.0841
3,0.6,0.9,0.7999999999999999,-436.74,0.0753
4,0.6,0.9,0.8999999999999999,-562.98,0.0678
5,0.6,0.9,0.9999999999999999,-689.23,0.0614
6,0.6,0.9,1.0999999999999999,-815.47,0.0558
7,0.6,0.9,1.1999999999999997,-941.71,0.0508
8,0.6,0.9,1.2999999999999998,-1067.96,0.0464
9,0.6,0.9,1.4,-1194.2,0.0424
10,0.6,0.9,1.4999999999999998,-1320.45,0.0388
11,0.6,0.9,1.5999999999999996,-1446.69,0.0355
12,0.6,0.9,1.6999999999999997,-1572.94,0.0324
13,0.6,1.0,0.5,-106.66,0.1019
14,0.6,1.0,0.6,-232.9,0.0893
15,0.6,1.0,0.7,-359.15,0.0791
16,0.6,1.0,0.7999999999999999,-485.39,0.0706
17,0.6,1.0,0.8999999999999999,-611.64,0.0634
18,0.6,1.0,0.9999999999999999,-737.88,0.0573
19,0.6,1.0,1.0999999999999999,-864.13,0.0519
20,0.6,1.0,1.1999999999999997,-990.37,0.0471
21,0.6,1.0,1.2999999999999998,-1116.61,0.0428
22,0.6,1.0,1.4,-1242.86,0.039
23,0.6,1.0,1.4999999999999998,-1369.1,0.0355
24,0.6,1.0,1.5999999999999996,-1495.35,0.0323
25,0.6,1.0,1.6999999999999997,-1621.59,0.0293
26,0.6,1.1,0.5,-155.31,0.0957
27,0.6,1.1,0.6,-281.56,0.0837
28,0.6,1.1,0.7,-407.8,0.074
29,0.6,1.1,0.7999999999999999,-534.05,0.0659
30,0.6,1.1,0.8999999999999999,-660.29,0.059
31,0.6,1.1,0.9999999999999999,-786.54,0.0531
32,0.6,1.1,1.0999999999999999,-912.78,0.0479
33,0.6,1.1,1.1999999999999997,-1039.02,0.0433
34,0.6,1.1,1.2999999999999998,-1165.27,0.0392
35,0.6,1.1,1.4,-1291.51,0.0355
36,0.6,1.1,1.4999999999999998,-1417.76,0.0321
37,0.6,1.1,1.5999999999999996,-1544.0,0.029
38,0.6,1.1,1.6999999999999997,-1670.25,0.0262
39,0.7,0.9,0.5,162.97,0.1355
40,0.7,0.9,0.6,36.72,0.1194
41,0.7,0.9,0.7,-89.52,0.1064
42,0.7,0.9,0.7999999999999999,-215.76,0.0959
43,0.7,0.9,0.8999999999999999,-342.01,0.087
